Inhibitor	ID	DMOG_0h	DMOG_4h	DMOG_8h	DMOG_12h	DMOG_16h	DMOG_20h	DMOG_24h	DMOG_28h	DMOG_32h	DMOG_36h	DMOG_40h	DMOG_44h	DMOG_48h	DMOG_Log0h	DMOG_Log4h	DMOG_Log8h	DMOG_Log12h	DMOG_Log16h	DMOG_Log20h	DMOG_Log24h	DMOG_Log28h	DMOG_Log32h	DMOG_Log36h	DMOG_Log40h	DMOG_Log44h	DMOG_Log48h	DMOG_AUC4h	DMOG_AUC8h	DMOG_AUC12h	DMOG_AUC16h	DMOG_AUC20h	DMOG_AUC24h	DMOG_AUC28h	DMOG_AUC32h	DMOG_AUC36h	DMOG_AUC40h	DMOG_AUC44h	DMOG_AUC48h	DMOG_TotalAUC	siDMOG_0h	siDMOG_4h	siDMOG_8h	siDMOG_12h	siDMOG_16h	siDMOG_20h	siDMOG_24h	siDMOG_28h	siDMOG_32h	siDMOG_36h	siDMOG_40h	siDMOG_44h	siDMOG_48h	siDMOG_Log0h	siDMOG_Log4h	siDMOG_Log8h	siDMOG_Log12h	siDMOG_Log16h	siDMOG_Log20h	siDMOG_Log24h	siDMOG_Log28h	siDMOG_Log32h	siDMOG_Log36h	siDMOG_Log40h	siDMOG_Log44h	siDMOG_Log48h	siDMOG_AUC4h	siDMOG_AUC8h	siDMOG_AUC12h	siDMOG_AUC16h	siDMOG_AUC20h	siDMOG_AUC24h	siDMOG_AUC28h	siDMOG_AUC32h	siDMOG_AUC36h	siDMOG_AUC40h	siDMOG_AUC44h	siDMOG_AUC48h	siDMOG_TotalAUC
S-99	SE01	1.08101693	1.06993031	1.024141061	1.058800089	1.014061559	1.00126352	0.881734672	0.861386612	0.886422792	0.880211348	0.904072179	0.90561049	0.819782458	0.033832496	0.029355491	0.010359779	0.024813969	0.00606432	0.000548393	-0.054662081	-0.064801882	-0.052359086	-0.055413037	-0.043796895	-0.043058556	-0.086301379	0.126375973	0.079430539	0.070347496	0.061756578	0.013225426	-0.108227376	-0.238927928	-0.234321936	-0.215544245	-0.198419863	-0.173710901	-0.258719869	-1.076736107	0.911084612	0.957686739	1.073527095	1.059843683	1.052309339	1.062748111	1.089846495	1.102651667	1.103655809	1.122668622	1.144808747	1.128554436	1.153602916	-0.040441288	-0.018776526	0.03081301	0.025241816	0.022143425	0.026430342	0.037365332	0.042438338	0.042833654	0.050251585	0.058732939	0.052522512	0.062056345	-0.118435629	0.024072968	0.112109652	0.094770481	0.097147533	0.127591347	0.15960734	0.170543984	0.186170476	0.217969047	0.222510902	0.229157715	1.523215815
PD173955-Analog1	SE02	1.067444507	1.043277795	1.049074913	0.943248194	0.886143496	0.903377242	0.80079227	0.741542414	0.851866391	0.820217252	0.813254365	0.820629997	0.728152458	0.028345307	0.018399964	0.020806502	-0.025374018	-0.052495946	-0.044130854	-0.096480128	-0.129864004	-0.069628516	-0.0860711	-0.089773597	-0.085852612	-0.13777768	0.093490541	0.078412931	-0.009135032	-0.155739927	-0.1932536	-0.281221964	-0.452688263	-0.398985039	-0.311399232	-0.351689395	-0.351252418	-0.447260584	-2.780721981	0.930429407	0.968314275	1.001406192	0.95504046	0.929519966	0.921091439	0.99063421	0.984146736	0.986015227	0.999407821	0.988639847	1.011240587	1.10207101	-0.031316572	-0.013983666	0.000610272	-0.019978229	-0.031741277	-0.035697254	-0.004086678	-0.006940144	-0.006116378	-0.000257256	-0.004961889	0.004854492	0.042209578	-0.090600475	-0.026746786	-0.038735914	-0.103439013	-0.134877063	-0.079567865	-0.022053644	-0.026113044	-0.012747269	-0.010438291	-0.000214795	0.094128141	-0.451406017
Gefitinib	SE03	1.058383291	1.035760056	0.965028713	0.782890541	0.759427867	0.750162243	0.709584231	0.713229633	0.703967596	0.696783241	0.695485072	0.720731763	0.643826473	0.024642975	0.015259158	-0.015459765	-0.106298954	-0.119513471	-0.124844798	-0.148996044	-0.146770621	-0.152447331	-0.156902304	-0.157712187	-0.142226338	-0.19123117	0.079804267	-0.000401212	-0.243517438	-0.451624849	-0.488716538	-0.547681686	-0.591533331	-0.598435905	-0.618699269	-0.629228982	-0.599877051	-0.666915016	-5.35682701	0.954336956	1.021715253	1.029912129	1.007957957	0.979434806	0.982879363	0.995109674	0.996767712	0.99519161	1.005103756	1.011872533	1.003961967	1.016515141	-0.020298258	0.009329877	0.012800173	0.003442418	-0.009024467	-0.007499783	-0.002129052	-0.001406038	-0.002093294	0.002210896	0.005125807	0.001717261	0.007113852	-0.021936762	0.044260099	0.032485181	-0.011164098	-0.0330485	-0.01925767	-0.00707018	-0.006998665	0.000235204	0.014673406	0.013686136	0.017662225	0.023526376
Mubritinib	SE04	0.832514226	0.808805543	0.917012547	0.988147077	0.883090627	0.866221192	0.847368501	0.794925896	0.778137897	0.776943485	0.782084073	0.853035625	0.755638474	-0.079608337	-0.092155881	-0.037624722	-0.00517841	-0.053994725	-0.062371196	-0.071927684	-0.099673355	-0.108943433	-0.109610571	-0.106746558	-0.069032831	-0.121685938	-0.343528435	-0.259561206	-0.085606264	-0.118346269	-0.232731841	-0.268597759	-0.343202078	-0.417233576	-0.437108008	-0.432714258	-0.351558779	-0.381437538	-3.67162601	0.942192003	1.00242588	0.992267719	0.973626828	0.93899282	0.921301905	0.92641323	0.923248027	0.925855517	0.922471927	0.954438998	0.941799604	0.952475136	-0.025860586	0.00105227	-0.003371137	-0.011607468	-0.027337729	-0.035598031	-0.033195251	-0.034681612	-0.033456781	-0.035046842	-0.020251824	-0.026041497	-0.021146353	-0.049616632	-0.004637733	-0.02995721	-0.077890393	-0.125871519	-0.137586565	-0.135753726	-0.136276786	-0.137007246	-0.110597331	-0.092586641	-0.094375698	-1.132157478
BMS-5	SE05	0.90992183	0.902508205	0.916602511	0.876729522	0.849224197	0.813078754	0.786362356	0.757308288	0.755335849	0.745702581	0.751272281	0.768287628	0.698136179	-0.040995916	-0.044548841	-0.037818957	-0.057134369	-0.07097764	-0.089867387	-0.104377285	-0.12072729	-0.121859903	-0.127434354	-0.124202635	-0.11447616	-0.156059855	-0.171089513	-0.164735597	-0.189906653	-0.256224018	-0.321690054	-0.388489344	-0.45020915	-0.485174386	-0.498588513	-0.503273977	-0.47735759	-0.541072031	-4.447810827	1.07899303	1.180800966	1.168514907	1.148686176	1.124561587	1.118137526	1.13151514	1.133428078	1.15093846	1.145321234	1.144495767	1.134621578	1.130349231	0.033018639	0.0721767	0.067634257	0.060201395	0.050983245	0.048495223	0.053660369	0.054393967	0.061052103	0.058927313	0.058614191	0.054851039	0.053212643	0.210390678	0.279621914	0.255671303	0.222369278	0.198956936	0.204311185	0.216108673	0.23089214	0.239958831	0.235083007	0.226930459	0.216127364	2.736421766
Crizotinib	SE06	0.874520441	0.86713749	0.887360715	0.986549515	0.780987955	0.79481402	0.795797755	0.790550136	0.736613423	0.705464183	0.686538759	0.710010453	0.631080518	-0.058230035	-0.061912037	-0.051899802	-0.005881113	-0.107355664	-0.099734481	-0.09919729	-0.102070582	-0.132760371	-0.151525031	-0.163334939	-0.148735257	-0.199915227	-0.240284144	-0.227623678	-0.11556183	-0.226473553	-0.41418029	-0.397863542	-0.402535745	-0.469661907	-0.568570805	-0.62971994	-0.624140394	-0.697300968	-5.013916797	0.942658235	1.009269854	1.033177342	1.061306746	1.064982904	1.037755207	1.072851336	1.076944972	1.079644837	1.094940479	1.088991406	1.093520206	1.136167575	-0.025645734	0.004007301	0.014174873	0.025840925	0.027342636	0.016094921	0.030539546	0.032193513	0.033280912	0.039390512	0.037024452	0.038826812	0.055442391	-0.043276865	0.03636435	0.080031596	0.106367122	0.086875115	0.093268935	0.125466119	0.13094885	0.145342848	0.152829928	0.15170253	0.188538406	1.254458932
GSK2606414	SE07	0.955657795	0.948999888	0.953499475	0.833466432	0.820039473	0.769092551	0.736452257	0.704803569	0.703005047	0.682195006	0.627383521	0.653984424	0.60385092	-0.019697593	-0.022733839	-0.020679542	-0.079111887	-0.086165242	-0.114021395	-0.132855403	-0.151931905	-0.153041557	-0.166091464	-0.202466893	-0.184432595	-0.219070268	-0.084862865	-0.086826761	-0.199582857	-0.330554258	-0.400373274	-0.493753595	-0.569574616	-0.609946925	-0.638266043	-0.737116714	-0.773798976	-0.807005726	-5.731662608	0.882986658	0.937924759	0.934962204	0.915536356	0.889298507	0.891986421	0.902699827	0.902853519	0.896867267	0.909139717	0.915147487	0.926836327	1.006243707	-0.054045859	-0.027832	-0.029205945	-0.038324405	-0.050952437	-0.049641757	-0.044456641	-0.044382705	-0.047271826	-0.041369369	-0.038508909	-0.032996953	0.002703177	-0.163755716	-0.11407589	-0.135060701	-0.178553684	-0.201188388	-0.188196796	-0.177678691	-0.183309062	-0.17728239	-0.159756555	-0.143011722	-0.06058755	-1.882457146
TGX221	SE08	0.895427851	0.886468594	0.822529822	0.734692008	0.787802598	0.801782733	0.780331866	0.796519526	0.800082613	0.774619256	0.757743546	0.762906073	0.668521387	-0.047969402	-0.052336646	-0.084848347	-0.133894684	-0.103582591	-0.095943301	-0.107720658	-0.098803573	-0.096865167	-0.110911711	-0.120477754	-0.117528928	-0.174884694	-0.200612095	-0.274369986	-0.437486063	-0.474954551	-0.399051784	-0.407327917	-0.413048462	-0.391337481	-0.415553757	-0.46277893	-0.476013364	-0.584827245	-4.937361638	0.82654831	0.911718121	0.922292302	0.899896701	0.880025896	0.890742527	0.897109556	0.914673338	0.915621532	0.905135125	0.90800444	0.91584928	1.02896646	-0.082731758	-0.040139413	-0.035131416	-0.04580734	-0.055504548	-0.050247813	-0.047154517	-0.03873398	-0.038284003	-0.043286581	-0.041912028	-0.038175992	0.012401219	-0.245742342	-0.150541659	-0.161877513	-0.202623776	-0.211504721	-0.194804659	-0.171776995	-0.154035966	-0.163141169	-0.170397218	-0.160176039	-0.051549546	-2.038171603
BI-D1870	SE09	0.911074171	0.893276471	0.997131554	0.785980628	0.716294794	0.682055374	0.719538716	0.713123867	0.708281671	0.70511481	0.687312662	0.697617067	0.684938867	-0.040446265	-0.049014105	-0.00124754	-0.104588158	-0.144908205	-0.166180365	-0.142945833	-0.146835028	-0.149793997	-0.151740163	-0.162845655	-0.156382903	-0.164348189	-0.178920741	-0.100523291	-0.211671396	-0.498992726	-0.62217714	-0.618252396	-0.579561723	-0.59325805	-0.60306832	-0.629171637	-0.638457117	-0.641462184	-5.915516723	0.969302561	1.045057713	1.055558598	1.043187708	1.053711371	1.036089181	1.069341678	1.086887345	1.118165631	1.127867259	1.172605038	1.170503088	1.195336056	-0.01354064	0.019140275	0.023482348	0.018362461	0.022721667	0.015397139	0.029116494	0.036184532	0.048506139	0.05225799	0.069151756	0.068372564	0.07749002	0.01119927	0.085245245	0.083689617	0.082168256	0.076237611	0.089027265	0.130602052	0.169381343	0.201528258	0.242819491	0.275048639	0.291725167	1.738672214
JNJ-38158471	SE10	1.09198218	1.080858829	1.078611044	1.056214095	0.85219462	0.844978723	0.826445254	0.788829732	0.806549821	0.793820547	0.773553299	0.816132361	0.671625096	0.038215551	0.033768974	0.032864863	0.023751959	-0.069461212	-0.073154227	-0.08278591	-0.103016729	-0.093368801	-0.100277664	-0.111509757	-0.088239401	-0.172873084	0.143969051	0.133267674	0.113233643	-0.091418506	-0.285230877	-0.311880273	-0.371605277	-0.392771059	-0.38729293	-0.423574843	-0.399498317	-0.522224971	-2.795026686	0.905499101	0.998247104	1.026942882	1.112935367	1.087587765	1.066317108	1.155317651	1.156561969	1.18414004	1.252126752	1.282406927	1.291239932	1.319673209	-0.043111977	-0.000761941	0.011546289	0.046469944	0.036464313	0.027886377	0.062701409	0.063168907	0.073403066	0.097648294	0.108025855	0.111006948	0.1204664	-0.087747835	0.021568696	0.116032465	0.165868514	0.128701381	0.181175571	0.251740632	0.273143948	0.342102722	0.411348299	0.438065607	0.462946697	2.704946697
CHIR-258	SE11	1.162503463	1.152507579	1.341560411	1.323786343	1.295894322	1.344911595	1.415151278	1.342591185	1.297515554	1.275154871	1.240147516	1.273183132	1.143835782	0.065394255	0.06164379	0.127610234	0.121817896	0.112569587	0.128693738	0.150802868	0.127943791	0.113112573	0.105562934	0.093473348	0.104890876	0.058363678	0.254076091	0.378508048	0.49885626	0.468774967	0.48252665	0.558993211	0.557493319	0.482112728	0.437351014	0.398072564	0.396728448	0.326509109	5.240002408	0.86424128	0.952827399	0.965393709	0.992604259	0.975154617	0.963386138	0.995624271	1.000267258	1.021356894	1.037230135	1.034853239	1.033460288	1.035202152	-0.063364994	-0.020985763	-0.015295536	-0.003223866	-0.010926519	-0.016199607	-0.001904525	0.000116053	0.009177525	0.015875126	0.014878763	0.014293793	0.015025166	-0.168701513	-0.072562597	-0.037038803	-0.028300769	-0.054252251	-0.036208264	-0.003576943	0.018587156	0.050105301	0.061507779	0.058345113	0.058637918	-0.153457874
Sorafenib	SE12	1.03283136	1.034162774	1.035418729	1.024256932	1.083908557	1.148375448	1.101674907	0.977174563	0.930133522	0.916813511	0.897755022	0.92459028	0.838933967	0.014029416	0.014588901	0.015116016	0.010408912	0.034992645	0.060083899	0.042053458	-0.010027847	-0.031454703	-0.037718995	-0.046842157	-0.034050677	-0.076272221	0.057236633	0.059409834	0.051049856	0.090803113	0.190153087	0.204274713	0.064051222	-0.0829651	-0.138347397	-0.169122304	-0.161785667	-0.220645796	-0.055887804	0.980870811	1.071188644	1.072533639	1.047771595	1.026905762	1.000425333	1.005591519	1.001143939	1.005773524	1.014937831	1.026287351	1.016376858	1.030191744	-0.008388189	0.02986596	0.030410922	0.020266621	0.011530591	0.000184681	0.002421602	0.000496522	0.002500199	0.006439441	0.011268976	0.007054768	0.012918065	0.042955542	0.120553764	0.101355086	0.063594423	0.023430542	0.005212565	0.005836249	0.005993443	0.01787928	0.035416834	0.036647488	0.039945666	0.498820882
CYC116	SF01	0.983084919	1.006078106	0.985435612	1.067635146	1.015554963	0.994970291	1.09630239	1.053036379	1.053447234	1.035407048	1.030528473	1.059631684	1.090451244	-0.007408966	0.002631698	-0.006371747	0.028422862	0.006703433	-0.002189887	0.039930361	0.022443375	0.022612787	0.015111117	0.013059996	0.025154936	0.037606252	-0.009554536	-0.007480098	0.04410223	0.07025259	0.009027092	0.075480948	0.124747472	0.090112324	0.075447808	0.056342225	0.076429863	0.125522376	0.730430294	0.823167175	0.878859865	0.920829917	0.928235651	0.898223071	0.893936366	0.900120654	0.896088207	0.897256281	0.905489148	0.907887748	0.909504245	1.002202933	-0.084511956	-0.056080368	-0.035820579	-0.032341756	-0.046615794	-0.048693395	-0.045699273	-0.047649238	-0.047083493	-0.04311675	-0.041967845	-0.04119527	0.000955669	-0.281184648	-0.183801895	-0.13632467	-0.157915099	-0.190618378	-0.188785336	-0.186697022	-0.189465462	-0.180400486	-0.17016919	-0.166326229	-0.0804792	-2.112167615
Alvocidib	SF02	1.125883461	1.07232455	0.997738514	0.958657407	0.913144366	0.853633688	0.834461428	0.887974802	0.944230041	0.948484087	0.974794741	1.254743429	1.034079239	0.051493439	0.030326249	-0.000983263	-0.018336568	-0.039460556	-0.068728454	-0.078593733	-0.051599358	-0.024922186	-0.022969951	-0.011086822	0.09855493	0.014553819	0.163639377	0.058685972	-0.038639662	-0.115594248	-0.21637802	-0.294644375	-0.260386183	-0.153043089	-0.095784275	-0.068113547	0.174936215	0.226217498	-0.619104337	0.897012471	0.967108683	0.961247934	0.940602694	0.912423443	0.899959204	0.906317095	0.90601458	0.899411539	0.909428835	0.912434024	0.91178306	0.923160708	-0.047201519	-0.014524717	-0.017164581	-0.026593782	-0.039803565	-0.045777177	-0.042719828	-0.042864813	-0.046041545	-0.04123128	-0.039798529	-0.040108481	-0.034722688	-0.123452473	-0.063378596	-0.087516725	-0.132794693	-0.171161484	-0.176994011	-0.171169283	-0.177812717	-0.17454565	-0.162059617	-0.159814019	-0.149662338	-1.750361605
Lapatinib	SF03	1.082404228	1.081353298	1.040176289	1.023305294	1.011243286	1.012881166	0.987666425	0.945242176	1.103310376	1.067029977	0.940759049	1.027402948	0.934080603	0.03438948	0.033967609	0.01710695	0.010005221	0.004855651	0.005558496	-0.00538971	-0.024456909	0.042697702	0.028176621	-0.026521596	0.011740808	-0.029615646	0.136714178	0.102149118	0.054224341	0.029721744	0.020828294	0.000337572	-0.059693236	0.036481588	0.141748646	0.00331005	-0.029561576	-0.035749678	0.400511042	0.892350222	0.950340142	0.948239421	0.935964655	0.906482256	0.89271911	0.900227092	0.901665596	0.895075127	0.891092322	0.90148937	0.897638756	0.95744197	-0.049464664	-0.022120926	-0.023081994	-0.028740551	-0.042640693	-0.049285168	-0.045647921	-0.044954501	-0.048140511	-0.050077298	-0.04503939	-0.046898405	-0.018887539	-0.14317118	-0.090405839	-0.10364509	-0.142762488	-0.183851722	-0.189866179	-0.181204844	-0.186190024	-0.196435619	-0.190233377	-0.183875589	-0.131571887	-1.92321384
LY2784544	SF04	0.94972443	0.972437934	1.125845615	1.13125729	1.108742104	1.112344597	1.076644585	1.047586026	1.117903014	1.228580443	1.147300584	1.059203647	0.926307364	-0.02240239	-0.012138108	0.051478841	0.053561391	0.04483054	0.04623935	0.03207236	0.020189697	0.048404127	0.089403598	0.059677215	0.024979467	-0.033244883	-0.069080997	0.078681465	0.210080463	0.196783862	0.182139779	0.15662342	0.104524114	0.137187647	0.27561545	0.298161625	0.169313364	-0.016530832	1.723499361	0.853975544	0.918295025	0.954685911	0.978831113	0.939668412	0.927775138	0.949376781	0.955432138	0.974317573	0.978597841	0.979140197	0.977233667	0.982059346	-0.068554566	-0.037017769	-0.020139487	-0.009292235	-0.027025372	-0.03255727	-0.022561394	-0.019800154	-0.011299464	-0.009395747	-0.00915512	-0.010001579	-0.007862267	-0.21114467	-0.11431451	-0.058863443	-0.072635214	-0.119165284	-0.110237327	-0.084723097	-0.062199237	-0.041390422	-0.037101733	-0.038313398	-0.035727693	-0.985816028
RWJ-67657	SF05	1.123142523	1.117412877	1.097961398	0.988055554	0.855802913	0.898989	0.940847412	0.826278162	0.957175562	0.950870857	0.938479336	0.989972903	1.010056918	0.05043487	0.048213672	0.040587072	-0.005218636	-0.06762624	-0.046245622	-0.026480805	-0.082873725	-0.019008398	-0.021878463	-0.027575285	-0.004376693	0.004345848	0.197297084	0.177601487	0.07073687	-0.145689752	-0.227743724	-0.145452855	-0.218709061	-0.203764247	-0.081773722	-0.098907497	-0.063903956	-6.169E-05	-0.740371062	0.862218687	0.962957995	0.953317847	0.946496822	0.920514491	0.90367468	0.908017388	0.904730276	0.907380803	0.903697207	0.899296091	0.905317283	0.914050733	-0.064382569	-0.016392657	-0.020762277	-0.02388084	-0.03596937	-0.043987886	-0.041905835	-0.043480876	-0.042210413	-0.04397706	-0.046097294	-0.043199189	-0.039029699	-0.161550451	-0.074309866	-0.089286233	-0.11970042	-0.159914513	-0.171787442	-0.170773422	-0.171382579	-0.172374946	-0.180148709	-0.178592966	-0.164457775	-1.814279322
PF04217903	SF06	1.037365432	1.047799753	0.985929733	0.912801469	0.927145021	0.933691538	0.977525927	0.965474276	0.965641297	1.040612073	0.936227208	0.881636605	0.796635598	0.015931772	0.020278292	-0.006154036	-0.03962367	-0.03285233	-0.029796577	-0.009871715	-0.015259293	-0.015184169	0.01728886	-0.028618742	-0.054710386	-0.098740291	0.072420127	0.028248511	-0.091555411	-0.144951999	-0.125297814	-0.079336584	-0.050262016	-0.060886925	0.004209382	-0.022659763	-0.166658257	-0.306901355	-0.943632102	0.860967637	0.925996169	0.92976334	0.925854837	0.921335809	0.939317191	0.971207177	0.987488705	0.98409456	0.97527083	0.969455318	0.915144043	0.898413787	-0.065013173	-0.03339081	-0.031627582	-0.0334571	-0.035582049	-0.027187729	-0.012688117	-0.005467863	-0.006963169	-0.010874765	-0.013472203	-0.038510543	-0.046523592	-0.196807966	-0.130036784	-0.130169364	-0.138078298	-0.125539557	-0.079751692	-0.03631196	-0.024862064	-0.035675868	-0.048693936	-0.103965491	-0.17006827	-1.219961251
AS-252424	SF07	0.987346294	0.999869288	0.949080047	0.894645702	1.01760581	1.078997095	1.064652778	1.098857958	1.112199759	1.13055774	1.154792723	1.318923428	1.045392352	-0.0055305	-5.67712E-05	-0.022697157	-0.04834892	0.007579578	0.033020275	0.027207992	0.040941558	0.046182797	0.053292748	0.062504038	0.120219583	0.019279319	-0.011174542	-0.045507856	-0.142092154	-0.081538684	0.081199707	0.120456534	0.136299099	0.174248709	0.198951088	0.231593572	0.365447242	0.278997802	1.306880517	0.957622551	1.068609823	1.099827854	1.07776998	1.043444292	1.044422417	1.058955453	1.08305865	1.083593211	1.080841789	1.084812029	1.093111233	1.106257069	-0.018805635	0.028819162	0.041324714	0.032526083	0.018469268	0.018876185	0.024877691	0.034651975	0.034866275	0.033762128	0.035354492	0.038664357	0.043856059	0.020027053	0.140287753	0.147701594	0.101990701	0.074690905	0.087507752	0.119059333	0.139036501	0.137256806	0.13823324	0.148037699	0.165040832	1.418870168
YM201636 HCl	SF08	0.994956221	1.01194893	0.989709615	0.954366516	0.969287337	0.981613851	0.982573601	0.950131894	1.041472507	1.035879115	0.988769731	0.961164548	0.860774222	-0.002196028	0.005158596	-0.004492211	-0.020284806	-0.013547461	-0.008059322	-0.007634908	-0.022216103	0.01764781	0.015309077	-0.004904837	-0.017202256	-0.065110747	0.005925135	0.00133277	-0.049554034	-0.067664535	-0.043213566	-0.031388461	-0.059702023	-0.009136587	0.065913774	0.02080848	-0.044214187	-0.164626008	-0.375519241	0.944530488	1.014816448	1.019860956	1.038957779	1.019396033	1.017162123	1.021181345	1.030904872	1.030648449	1.036392698	1.041298865	1.057040067	1.107341598	-0.024784019	0.006387498	0.008540966	0.016597899	0.008342939	0.00739018	0.009102872	0.013218592	0.013110554	0.015524344	0.017575395	0.02409145	0.044281615	-0.036793043	0.029856927	0.05027773	0.049881677	0.031466238	0.032986104	0.044642929	0.052658292	0.057269797	0.066199479	0.083333689	0.136746129	0.598525946
PF-04708671	SF09	1.032612565	1.048824831	1.035707483	0.984474881	0.986971085	1.070024128	1.06096504	1.046412345	1.089991979	1.056095765	1.132864113	1.253170312	1.189857938	0.013937405	0.020702961	0.015237114	-0.00679536	-0.005695571	0.029393571	0.025701074	0.019702855	0.037423302	0.023703301	0.054177819	0.098010098	0.075495112	0.069280732	0.07188015	0.016883507	-0.024981862	0.047396	0.110189289	0.090807856	0.114252313	0.122253206	0.155762241	0.304375834	0.34701042	1.425109687	1.041757103	1.144560073	1.133501019	1.126870963	1.129438751	1.120717414	1.128893602	1.130313995	1.138817763	1.14191407	1.176299979	1.174964184	1.175127443	0.01776647	0.058638592	0.054421915	0.051874188	0.052862684	0.04949612	0.052653012	0.053199105	0.056454233	0.057633424	0.070518089	0.070024628	0.070084969	0.152810124	0.226121013	0.212592206	0.209473745	0.204717609	0.204298264	0.211704233	0.219306675	0.228175313	0.256303027	0.281085435	0.280219194	2.686806839
SAR131675	SF10	0.850573818	0.884618981	1.038307445	1.025581224	1.019079515	1.034575349	1.145581444	1.094505746	1.117218192	1.104621426	0.988054095	0.976238063	0.869170268	-0.07028799	-0.053243746	0.016325968	0.010970061	0.008208072	0.014762126	0.05902597	0.039218046	0.048137999	0.043213463	-0.005219278	-0.010444263	-0.060895138	-0.247063472	-0.073835557	0.054592059	0.038356266	0.045940396	0.147576193	0.196488033	0.174712089	0.182702923	0.075988371	-0.031327082	-0.142678803	0.421451416	0.990633129	1.101556745	1.109279604	1.091311394	1.067028266	1.047001318	1.045441135	1.054466337	1.059566529	1.065588157	1.077707676	1.071891296	1.077477821	-0.004087152	0.042006874	0.045041028	0.03794869	0.028175924	0.019947228	0.019299584	0.02303272	0.025128231	0.027589385	0.032500976	0.030150744	0.032408339	0.075839443	0.174095804	0.165979435	0.132249228	0.096246305	0.078493625	0.084664608	0.096321901	0.105435232	0.120180722	0.125303441	0.125118167	1.379927912
E7080 (Lenvatinib)	SF11	1.185631951	1.17775187	1.226631232	1.197186646	1.167627442	1.167130465	1.143492032	1.153732778	1.058050035	0.962288075	0.932218732	0.98734148	0.81242139	0.073949894	0.071053802	0.088714018	0.078161864	0.067304293	0.067119405	0.058233143	0.062105231	0.024506206	-0.016694896	-0.030482175	-0.005532617	-0.090218651	0.290007394	0.319535642	0.333751764	0.290932314	0.268847398	0.250705096	0.240676748	0.173222874	0.01562262	-0.094354141	-0.072029583	-0.191502536	1.825415589	0.92327657	1.04104775	1.028125122	1.067105602	1.096628975	1.060238444	1.087688027	1.097875838	1.1036746	1.093010311	1.098064096	1.10191376	1.096291526	-0.034668185	0.01747065	0.012045971	0.0282074	0.040059717	0.025403548	0.036504348	0.040553227	0.042841048	0.038624259	0.040627691	0.042147606	0.039926057	-0.034395071	0.059033242	0.080506742	0.136534233	0.130926528	0.123815791	0.15411515	0.16678855	0.162930613	0.158503901	0.165550595	0.164147327	1.468457602
SU-6668 (Orantinib)	SF12	1.085556844	1.083115593	1.076582692	1.023729392	1.041767693	1.050364044	1.055277755	1.064666279	1.098413017	1.063991942	1.037695205	1.05058289	0.937947471	0.03565257	0.034674808	0.032047393	0.010185172	0.017770885	0.021339847	0.023366783	0.027213499	0.040765671	0.026938339	0.01606981	0.021430324	-0.027821483	0.140654756	0.133444403	0.084465132	0.055912115	0.078221463	0.08941326	0.101160565	0.13595834	0.13540802	0.086016298	0.075000267	-0.012782319	1.102872299	0.956262946	1.002029055	0.993062268	0.979176868	0.950481032	0.961333641	0.978265281	0.97751597	0.983440736	0.978357181	0.982481345	0.978773847	0.991557754	-0.019422672	0.000880315	-0.003023519	-0.009138855	-0.022056546	-0.01712586	-0.009543359	-0.009876139	-0.007251806	-0.009502563	-0.007675687	-0.009317644	-0.003681985	-0.037084715	-0.004286409	-0.024324748	-0.062390801	-0.078364811	-0.053338438	-0.038838996	-0.03425589	-0.033508739	-0.0343565	-0.033986661	-0.025999257	-0.460735965
SNS-314	SG01	1.123142118	1.117996548	1.112113814	1.0591794	1.083831124	1.144677526	1.095396911	1.239744698	1.213001526	1.174991845	1.277016095	1.259686336	1.138535641	0.050434714	0.048440463	0.046149235	0.024969526	0.034961618	0.058683156	0.039571512	0.09333226	0.083861347	0.070034852	0.106196371	0.100262419	0.05634663	0.197750353	0.189179396	0.142237522	0.119862288	0.187289549	0.196509336	0.265807543	0.354387214	0.307792399	0.352462447	0.412917579	0.313218098	3.039413723	0.916732061	1.001170162	1.037395211	1.020288358	0.97158753	1.013016237	1.049350732	1.04215458	1.067040977	1.069842733	1.075386992	1.121858064	1.163026577	-0.03775758	0.000507898	0.015944239	0.008722931	-0.012518068	0.005616406	0.02092067	0.017932141	0.028181098	0.029319941	0.031564779	0.049937914	0.065589639	-0.074499364	0.032904273	0.04933434	-0.007590273	-0.013803323	0.053074153	0.077705623	0.092226478	0.115002078	0.12176944	0.163005386	0.231055106	0.840183916
