Inhibitor	ID	TGFB_0h	TGFB_4h	TGFB_8h	TGFB_12h	TGFB_16h	TGFB_20h	TGFB_24h	TGFB_28h	TGFB_32h	TGFB_36h	TGFB_40h	TGFB_44h	TGFB_48h	TGFB_Log0h	TGFB_Log4h	TGFB_Log8h	TGFB_Log12h	TGFB_Log16h	TGFB_Log20h	TGFB_Log24h	TGFB_Log28h	TGFB_Log32h	TGFB_Log36h	TGFB_Log40h	TGFB_Log44h	TGFB_Log48h	TGFB_AUC4h	TGFB_AUC8h	TGFB_AUC12h	TGFB_AUC16h	TGFB_AUC20h	TGFB_AUC24h	TGFB_AUC28h	TGFB_AUC32h	TGFB_AUC36h	TGFB_AUC40h	TGFB_AUC44h	TGFB_AUC48h	TGFB_TotalAUC	siTGFB_0h	siTGFB_4h	siTGFB_8h	siTGFB_12h	siTGFB_16h	siTGFB_20h	siTGFB_24h	siTGFB_28h	siTGFB_32h	siTGFB_36h	siTGFB_40h	siTGFB_44h	siTGFB_48h	siTGFB_Log0h	siTGFB_Log4h	siTGFB_Log8h	siTGFB_Log12h	siTGFB_Log16h	siTGFB_Log20h	siTGFB_Log24h	siTGFB_Log28h	siTGFB_Log32h	siTGFB_Log36h	siTGFB_Log40h	siTGFB_Log44h	siTGFB_Log48h	siTGFB_AUC4h	siTGFB_AUC8h	siTGFB_AUC12h	siTGFB_AUC16h	siTGFB_AUC20h	siTGFB_AUC24h	siTGFB_AUC28h	siTGFB_AUC32h	siTGFB_AUC36h	siTGFB_AUC40h	siTGFB_AUC44h	siTGFB_AUC48h	siTGFB_TotalAUC
Gefitinib	SE03	1.017952017	1.064919785	1.047900154	0.956147724	0.925950414	0.933749898	0.908454243	0.90564467	0.9206498	0.930826524	0.938235007	0.92906603	0.847324362	0.007727307	0.027316896	0.020319904	-0.019475004	-0.03341227	-0.029769433	-0.041696942	-0.043042164	-0.035905537	-0.03113125	-0.027688367	-0.031953419	-0.071950307	0.070088406	0.0952736	0.0016898	-0.105774548	-0.126363405	-0.14293275	-0.169478214	-0.157895403	-0.134073574	-0.117639234	-0.119283572	-0.207807451	-1.114196344	1.034425909	1.005039502	0.994877489	1.034854482	1.097529366	1.113438615	1.109289033	1.081544772	1.06896384	1.051877308	1.014987467	0.971756223	0.908260397	0.01469939	0.002183132	-0.002230396	0.014879285	0.040416149	0.046666279	0.045044719	0.034044502	0.028963015	0.021965086	0.00646068	-0.01244267	-0.041789622	0.033765042	-9.45E-05	0.025297778	0.110590868	0.174164856	0.183421997	0.158178443	0.126015034	0.101856202	0.056851532	-0.01196398	-0.108464583	0.849618661
Mubritinib	SE04	1.081649136	1.074911794	1.056490659	1.020759499	1.00540353	1.030053544	1.01858586	0.955658872	0.936610446	0.915382153	0.89930184	0.92918859	0.84102939	0.034086408	0.031372828	0.023865662	0.00892343	0.002340406	0.012859801	0.007997643	-0.019697104	-0.028441003	-0.038397559	-0.046094518	-0.031896132	-0.075188827	0.130918471	0.110476979	0.065578183	0.022527672	0.030400413	0.041714887	-0.023398922	-0.096276214	-0.133677124	-0.168984154	-0.1559813	-0.214169918	-0.390871026	1.237478637	1.236662616	1.238595459	1.219024657	1.227404171	1.260047874	1.323598258	1.223167811	1.196317453	1.179919128	1.074558859	1.034775178	0.96500972	0.09253771	0.092251232	0.092929483	0.08601249	0.088987595	0.100387046	0.121756187	0.087486044	0.077846439	0.071852242	0.031230209	0.014846002	-0.015468312	0.369577885	0.370361432	0.357883947	0.35000017	0.378749281	0.444286466	0.418484461	0.330664965	0.299397361	0.206164901	0.092152423	-0.00124462	3.616478672
BMS-5	SE05	0.976955954	0.999425839	1.065728031	1.12987276	0.99087772	0.992862906	0.95633875	0.900762781	0.879277186	0.885951924	0.875987014	0.982684335	0.868431367	-0.010125016	-0.000249427	0.027646389	0.053029538	-0.003979937	-0.003110715	-0.019388247	-0.045389567	-0.055874195	-0.052589844	-0.057502332	-0.007585967	-0.061264499	-0.020748885	0.054793925	0.161351854	0.098099204	-0.014181302	-0.044997922	-0.129555627	-0.202527524	-0.216928079	-0.220184353	-0.130176598	-0.137700931	-0.802756239	1.012818363	1.017839786	0.996536698	1.033813531	1.05528959	1.088955854	1.078241239	1.066079289	1.07276115	1.04174682	1.011775424	0.980703774	0.923493624	0.005531567	0.007679423	-0.001506704	0.014442212	0.023371654	0.037010274	0.032715938	0.027789506	0.030503037	0.017762183	0.005084126	-0.008462153	-0.034566099	0.026421979	0.012345439	0.025871017	0.075627732	0.120763856	0.139452424	0.121010889	0.116585087	0.096530441	0.045692619	-0.006756054	-0.086056504	0.687488925
Crizotinib	SE06	0.995774383	0.983509407	0.992707031	0.95373712	0.948908165	0.943299544	0.935044571	0.937287231	0.932866049	0.920028159	0.909791173	1.001083124	0.849205238	-0.00183905	-0.007221482	-0.003178902	-0.020571314	-0.022775816	-0.025350376	-0.029167687	-0.028127299	-0.030180712	-0.03619888	-0.041058281	0.00047014	-0.070987336	-0.018121065	-0.020800768	-0.047500432	-0.086694261	-0.096252384	-0.109036125	-0.114589973	-0.116616024	-0.132759185	-0.154514323	-0.081176282	-0.141034391	-1.119095212	1.011347204	1.033962098	1.019735935	1.039576952	1.08088817	1.077043943	1.044407062	1.025606757	1.010448914	0.992298515	0.962478246	0.934297139	0.873028791	0.004900278	0.014504619	0.008487724	0.016856642	0.033780764	0.032233423	0.0188698	0.010980873	0.004514361	-0.003357659	-0.016609078	-0.029514981	-0.058971434	0.038809794	0.045984686	0.050688733	0.101274812	0.132028373	0.102206445	0.059701346	0.03099047	0.002313406	-0.039933472	-0.092248117	-0.17697283	0.254843645
GSK2606414	SE07	0.926979714	0.922643732	0.948015229	0.899779439	0.882054106	0.894440727	0.875212746	0.827208103	0.814681892	0.806686609	0.787146907	0.811482599	0.731471112	-0.03292977	-0.034965964	-0.023184686	-0.045863935	-0.054504774	-0.048448434	-0.057886366	-0.08238522	-0.089011937	-0.093295152	-0.103944207	-0.090720789	-0.135802821	-0.135791468	-0.116301301	-0.138097242	-0.200737418	-0.205906416	-0.212669601	-0.280543173	-0.342794313	-0.364614178	-0.394478718	-0.38932999	-0.453047219	-3.234311038	1.06205791	1.032917122	0.991929921	0.977502914	0.979800226	1.007434407	1.061927531	1.048372224	1.043312181	1.036133744	1.019922731	1.001091863	0.972081261	0.026148198	0.014065477	-0.003519009	-0.009881939	-0.008862465	0.003216779	0.02609488	0.020515506	0.018414278	0.015415818	0.008567271	0.000473931	-0.012297429	0.080427349	0.021092934	-0.026801897	-0.037488808	-0.011291371	0.058623319	0.093220773	0.077859568	0.067660191	0.047966177	0.018082405	-0.023646995	0.365703645
TGX221	SE08	0.999654571	0.986731266	0.993259417	0.954096757	0.955259092	0.940927059	0.921767652	0.885492162	0.882175661	0.877996931	0.924128982	0.971979821	0.927515425	-0.000150044	-0.00580111	-0.002937309	-0.02040758	-0.01987882	-0.026444042	-0.035378537	-0.052815279	-0.054444928	-0.056507002	-0.034267409	-0.012342751	-0.032678859	-0.011902308	-0.017476838	-0.046689778	-0.080572801	-0.092645724	-0.123645158	-0.176387631	-0.214520414	-0.221903861	-0.181548823	-0.093220321	-0.090043221	-1.350556879	0.879962113	0.870839406	0.859529949	0.917523673	0.988819106	1.037633187	1.037218341	1.019518729	1.024243999	1.029176348	1.006445574	0.983757782	0.941131378	-0.055536026	-0.060061927	-0.065738986	-0.037382722	-0.004883151	0.016043853	0.015870188	0.008395208	0.010403428	0.012489797	0.002790294	-0.007111819	-0.026349747	-0.231195906	-0.251601827	-0.206243416	-0.084531745	0.022321406	0.063828082	0.048530792	0.037597273	0.04578645	0.030560182	-0.00864305	-0.066923132	-0.60051489
BI-D1870	SE09	1.034734499	1.034931958	1.077025727	1.025425086	0.963621198	0.973062305	0.959640225	0.842513065	0.80535142	0.792586435	0.821171041	0.845572526	0.786890496	0.014828929	0.014911798	0.032226077	0.010903938	-0.016093655	-0.011859351	-0.017891556	-0.074423356	-0.094014571	-0.100953365	-0.085566375	-0.072849136	-0.1040857	0.059481454	0.094275751	0.086260031	-0.010379434	-0.055906012	-0.059501814	-0.184629824	-0.336875854	-0.389935872	-0.373039479	-0.316831022	-0.353869673	-1.840951749	0.954875703	0.961383535	0.973392326	1.004615434	0.998075046	1.021279568	1.031249427	1.009736199	1.001597269	0.981258736	0.946898227	0.910200753	0.847340445	-0.020053157	-0.01710332	-0.011712082	0.001999846	-0.000836803	0.009144643	0.01336372	0.004207926	0.000693132	-0.008216464	-0.023696697	-0.04086281	-0.071942063	-0.074312955	-0.057630804	-0.019424472	0.002326087	0.016615682	0.045016727	0.035143292	0.009802115	-0.015046664	-0.063826321	-0.129119012	-0.225609746	-0.47606607
JNJ-38158471	SE10	0.98934297	0.989804968	0.966875584	0.907007864	0.840189528	0.800477894	0.777862083	0.773022421	0.758138409	0.791294489	0.859408565	0.899827963	0.853320906	-0.004653128	-0.004450371	-0.014629407	-0.042388947	-0.075622736	-0.096650657	-0.109097398	-0.111807909	-0.1202515	-0.101661859	-0.065800322	-0.045840515	-0.068887614	-0.018206997	-0.038159555	-0.114036708	-0.236023366	-0.344546786	-0.41149611	-0.441810614	-0.46411882	-0.443826719	-0.334924363	-0.223281674	-0.229456258	-3.29988797	1.109331204	1.093009392	1.076338919	1.09272391	1.097311841	1.111035691	1.130107234	1.162309022	1.124532388	1.110986403	1.073842909	1.037402971	0.968989614	0.045061229	0.038623894	0.031949044	0.038510446	0.040330066	0.04572801	0.053119655	0.065321609	0.050971968	0.045708744	0.030940754	0.015947487	-0.013680878	0.167370246	0.141145876	0.14091898	0.157681023	0.172116152	0.197695331	0.236882528	0.232587154	0.193361424	0.153298995	0.093776482	0.004533219	1.89136741
CHIR-258	SE11	0.876104127	0.874660816	0.854047762	0.869364243	0.836833997	0.856750118	0.945969817	0.905984518	0.901117968	0.899726388	0.89719524	0.879067819	0.781893065	-0.057444274	-0.058160329	-0.068517841	-0.060798226	-0.077360685	-0.067145827	-0.02412272	-0.042879224	-0.045218351	-0.045889542	-0.047113039	-0.055977618	-0.106852639	-0.231209206	-0.25335634	-0.258632135	-0.276317822	-0.289013023	-0.182537095	-0.134003888	-0.176195149	-0.182215785	-0.186005162	-0.206181315	-0.325660514	-2.701327434	1.070426282	1.078962362	1.100714622	1.097427027	1.100778647	1.125270679	1.11928528	1.092212785	1.083945436	1.078564787	1.018019877	0.977799162	0.916937056	0.029556764	0.033006295	0.041674736	0.040375652	0.041699996	0.051257003	0.048940792	0.038307256	0.035007421	0.032846237	0.007756258	-0.009750339	-0.037660476	0.125126118	0.149362062	0.164100775	0.164151296	0.185913998	0.20039559	0.174496096	0.146629354	0.135707317	0.08120499	-0.003988163	-0.09482163	1.428277803
Sorafenib	SE12	1.237933148	1.201879559	1.147295983	1.074235789	1.038120095	1.023758713	0.998446251	0.944155648	0.962735917	0.95626197	0.939720922	0.999270193	0.922863492	0.092697192	0.079860949	0.059675473	0.031099617	0.016247598	0.010197611	-0.000675309	-0.024956405	-0.016492826	-0.019423116	-0.027001104	-0.000317067	-0.034862534	0.345116282	0.279072844	0.18155018	0.09469443	0.052890418	0.019044603	-0.051263428	-0.08289846	-0.071831882	-0.092848439	-0.054636341	-0.070359202	0.548531005	1.087619469	1.099962916	1.067333296	1.07698238	1.073600705	1.111943622	1.067711656	1.039988078	1.012157718	1.010074309	0.980079054	0.942334234	0.884086767	0.036476973	0.041378044	0.028300058	0.032208598	0.030842788	0.046082768	0.028453984	0.017028361	0.005248191	0.004353325	-0.008738892	-0.025795031	-0.05350511	0.155710034	0.139356203	0.121017311	0.126102772	0.153851112	0.149073504	0.090964689	0.044553104	0.019203032	-0.008771135	-0.069067847	-0.158600282	0.763392498
CYC116	SF01	0.936524102	0.927886935	0.888459631	0.836036863	0.806702174	0.847941849	0.830829409	0.830456994	0.833063545	0.852232092	0.834983183	1.001848996	0.850779487	-0.028481041	-0.03250494	-0.0513623	-0.077774573	-0.093286773	-0.07163393	-0.080488139	-0.080682853	-0.07932187	-0.069442116	-0.078322271	0.000802267	-0.07018299	-0.121971963	-0.167734481	-0.258273747	-0.342122691	-0.329841406	-0.304244139	-0.322341984	-0.320009446	-0.297527972	-0.295528774	-0.155040008	-0.138761445	-3.053398056	1.08966272	1.083121075	1.031165487	1.053909202	1.104264692	1.126300946	1.166394366	1.166757038	1.112765607	1.091837212	1.032592575	0.992964838	0.915466061	0.037292093	0.034677006	0.013328369	0.022803196	0.043073186	0.051654449	0.066845413	0.066980429	0.046403694	0.038157892	0.013928998	-0.00306613	-0.038357752	0.143938198	0.09601075	0.072263131	0.131752765	0.18945527	0.236999724	0.267651685	0.226768247	0.169123172	0.104173779	0.021725736	-0.082847763	1.577014694
Alvocidib	SF02	1.040309364	1.047257098	1.051027674	0.989790054	0.982739737	0.993292893	0.988466171	0.965052926	0.995382627	1.100852217	1.070589605	1.131453911	1.027335214	0.017162508	0.020053313	0.021614151	-0.004456915	-0.007561483	-0.002922672	-0.005038189	-0.015448868	-0.002009944	0.041729021	0.029623022	0.053636868	0.011712175	0.07443164	0.083334928	0.034314474	-0.024036795	-0.02096831	-0.015921722	-0.040974115	-0.034917623	0.079438156	0.142704087	0.16651978	0.130698085	0.574622585	1.089985213	1.06484454	1.054874102	1.053798562	1.046534091	1.068443399	1.072552236	1.127630022	1.13825743	1.180212999	1.155519898	1.099344714	1.021546265	0.037420606	0.027286208	0.02320063	0.022757602	0.01975338	0.02875152	0.030418453	0.05216663	0.056240494	0.071960394	0.062777428	0.041133893	0.00925804	0.129413629	0.100973677	0.091916464	0.085021963	0.097009801	0.118339946	0.165170165	0.216814248	0.256401775	0.269475644	0.207822642	0.100783866	1.83914382
Lapatinib	SF03	1.136469871	1.132460192	1.104409042	1.037624063	1.00968558	1.019412805	1.006218378	0.968045721	0.967389648	0.957167493	0.950628106	1.045855097	0.944533383	0.055557927	0.054022945	0.043129954	0.016040035	0.004186154	0.008350085	0.002692245	-0.01410413	-0.014398564	-0.019012059	-0.02198935	0.019471517	-0.024782688	0.219161743	0.194305797	0.118339977	0.040452377	0.025072477	0.022084659	-0.02282377	-0.057005389	-0.066821247	-0.082002818	-0.005035665	-0.010622341	0.375105799	1.061383028	1.042997519	1.012516734	1.007762162	1.01894669	1.020612575	1.017213793	0.999011017	0.995379326	1.010801413	0.998289887	0.978898903	0.93449917	0.025872139	0.018283275	0.00540221	0.003358048	0.008151463	0.008860915	0.00741224	-0.000429722	-0.002011384	0.00466584	-0.000743328	-0.009262158	-0.02942108	0.088310828	0.04737097	0.017520515	0.023019022	0.034024756	0.032546311	0.013965036	-0.004882212	0.005308913	0.007845024	-0.020010973	-0.077366476	0.167651713
LY2784544	SF04	1.125109393	1.10672434	1.079012212	0.951675623	0.952466172	0.942017115	0.921697095	0.839092473	0.807651604	0.843090261	0.887716955	0.906823116	0.834062157	0.05119475	0.044039461	0.03302636	-0.021511055	-0.02115044	-0.025941207	-0.035411781	-0.076190175	-0.09277594	-0.074125927	-0.051725485	-0.042477418	-0.078801583	0.190468424	0.154131643	0.02303061	-0.08532299	-0.094183293	-0.122705976	-0.223203912	-0.33793223	-0.333803735	-0.251702825	-0.188405806	-0.242558002	-1.512188092	1.06505589	1.092959448	1.077585338	1.074277753	1.066013948	1.073236933	1.104459761	1.094017973	1.083951413	1.065870831	1.025103535	0.977224931	0.896595172	0.027372398	0.038604049	0.032451674	0.031116582	0.027762887	0.03069561	0.043149898	0.039024457	0.035009816	0.027704577	0.010767731	-0.010005462	-0.047403604	0.131952894	0.142111444	0.127136511	0.117758939	0.116916993	0.147691015	0.164348709	0.148068545	0.125428786	0.076944617	0.001524539	-0.114818132	1.185064861
RWJ-67657	SF05	1.019949598	1.045097066	0.983929463	0.922076072	1.014517562	1.078726665	1.116819755	1.029577629	1.060870607	1.077164748	1.083404234	1.287020574	1.010589831	0.008578711	0.019156629	-0.007036035	-0.035233248	0.006259569	0.032911414	0.047983087	0.012659098	0.025662417	0.032282132	0.034790528	0.109585489	0.004574924	0.055470679	0.024241188	-0.084538565	-0.057947357	0.078341967	0.161789003	0.12128437	0.076643029	0.115889098	0.134145321	0.288752036	0.228320827	1.142391595	1.057816469	1.032430538	1.01798806	1.01308985	1.075255838	1.087438884	1.078612755	1.072008958	1.077276321	1.084065406	1.080617514	1.03686873	0.972368475	0.024410324	0.013860842	0.007742684	0.005647964	0.031511809	0.036404858	0.032865552	0.030198414	0.032327114	0.035055486	0.033672002	0.015723777	-0.01216913	0.076542332	0.043207052	0.026781297	0.074319547	0.135833335	0.13854082	0.126127932	0.125051057	0.134765199	0.137454976	0.098791558	0.007109295	1.1245244
PF04217903	SF06	1.002938721	1.01118067	1.014063475	0.999935136	0.985261768	0.96443247	0.91472308	0.86387379	0.874235682	0.920632607	0.900912636	0.951846756	0.89581253	0.001274399	0.004828759	0.00606514	-2.82E-05	-0.006448369	-0.015728176	-0.038710363	-0.063549702	-0.058371472	-0.035913647	-0.045317322	-0.021432966	-0.047782867	0.012206315	0.021787799	0.012073939	-0.01295308	-0.044353091	-0.108877078	-0.20452013	-0.243842348	-0.188570238	-0.162461938	-0.133500575	-0.138431666	-1.191442093	1.119221358	1.072747199	1.026460212	1.015416422	1.015963552	1.026201102	1.027804422	1.016852215	0.995140237	0.9816853	0.953208818	0.91434453	0.848572776	0.048915989	0.030497389	0.01134212	0.006644183	0.006878128	0.011232477	0.011910482	0.007257839	-0.002115713	-0.008027712	-0.020811949	-0.038890129	-0.071310905	0.158826757	0.083679018	0.035972605	0.027044621	0.036221209	0.046285917	0.038336642	0.010284251	-0.020286851	-0.057679322	-0.119404155	-0.220402069	0.018878623
AS-252424	SF07	0.911351016	0.919958226	0.94225298	0.911972707	0.91672088	0.899149753	0.881690866	0.842641227	0.853991954	0.861299295	0.85496229	0.944880976	0.968464369	-0.040314318	-0.036231893	-0.02583248	-0.040018159	-0.037762877	-0.046167971	-0.054683658	-0.074357296	-0.068546221	-0.064845908	-0.06805304	-0.024622895	-0.013916353	-0.153092422	-0.124128747	-0.131701278	-0.155562071	-0.167861695	-0.201703258	-0.258081909	-0.285807035	-0.266784259	-0.265797897	-0.185351871	-0.077078496	-2.272950937	1.097718036	1.076697315	1.03014195	1.039239519	1.030223114	1.041760182	1.045676684	1.030184127	1.029152671	1.037206547	1.038593177	1.042678226	0.929746898	0.0404908	0.03209363	0.012897073	0.016715653	0.012931289	0.017767754	0.019397424	0.012914854	0.012479806	0.015865249	0.016445465	0.018150304	-0.031635262	0.14516886	0.089981406	0.059225453	0.059293885	0.061398087	0.074330357	0.064624557	0.050789319	0.05669011	0.064621429	0.069191539	-0.026969915	0.768345087
YM201636 HCl	SF08	1.015107512	1.009021125	0.935153117	0.94069103	0.925537724	0.958461011	0.926274028	0.887362217	0.889928898	0.878773966	0.938351665	0.979885151	0.966870478	0.006512042	0.003900259	-0.029117274	-0.026552997	-0.033605875	-0.018425549	-0.033260513	-0.051899067	-0.05064469	-0.056122818	-0.027634371	-0.008824824	-0.0146317	0.020824601	-0.050434031	-0.111340543	-0.120317745	-0.104062848	-0.103372124	-0.17031916	-0.205087515	-0.213535016	-0.167514378	-0.072918389	-0.046913047	-1.344990195	1.018003599	0.998038304	1.000360775	1.030463937	1.035904341	1.041361435	1.042767877	1.034893536	1.037591019	1.096876081	0.997722221	0.949713041	0.877139892	0.007749313	-0.00085279	0.000156654	0.013032797	0.015319653	0.01760149	0.018187644	0.014895674	0.016026204	0.040157566	-0.000990355	-0.022407598	-0.056931137	0.013793046	-0.001392272	0.026378904	0.056704901	0.065842287	0.071578269	0.066166637	0.061843757	0.11236754	0.078334422	-0.046795907	-0.158677471	0.346144111
SAR131675	SF10	1.066843517	1.105414929	1.073808142	1.022141172	0.996771797	1.01631912	0.995152704	1.076122932	1.193274186	1.146841278	1.146893535	1.123869899	0.996417802	0.028100722	0.043525326	0.030926693	0.009510882	-0.001404259	0.007030096	-0.002110273	0.031861886	0.076740246	0.059503316	0.059523105	0.05071604	-0.001558522	0.143252096	0.148904036	0.080875149	0.016213247	0.011251675	0.009839647	0.059503227	0.217204264	0.272487123	0.238052841	0.220478288	0.098315035	1.51637663	1.048070149	1.008267952	0.970433412	0.95752769	0.958283399	0.967172389	0.965832802	0.986666322	0.964036321	0.951850677	0.917380172	0.885537785	0.833210237	0.020390352	0.003575963	-0.013034259	-0.018848658	-0.018506035	-0.01449611	-0.015098049	-0.005829695	-0.015906603	-0.021431177	-0.037450651	-0.052792903	-0.079245403	0.04793263	-0.018916592	-0.063765835	-0.074709387	-0.066004291	-0.059188319	-0.041855489	-0.043472597	-0.07467556	-0.117763655	-0.180487108	-0.264076612	-0.956982815
E7080 (Lenvatinib)	SF11	0.94660026	0.933581732	0.907819006	0.863590591	0.897722691	0.934281767	0.991893072	0.980335471	0.962601211	1.020741308	1.006034923	1.029193188	0.90449114	-0.023833381	-0.029847655	-0.042000729	-0.063692098	-0.046857797	-0.029522127	-0.003535143	-0.008625283	-0.016553596	0.00891569	0.002613057	0.012496903	-0.043595683	-0.107362071	-0.143696768	-0.211385654	-0.221099791	-0.152759848	-0.066114539	-0.024320853	-0.050357759	-0.015275812	0.023057495	0.03021992	-0.06219756	-1.001293241	1.127276414	1.120139417	1.091567403	1.136645209	1.154220208	1.1441281	1.099388839	1.065157742	1.048765521	1.040221628	1.00981469	0.977125068	0.91516107	0.05203042	0.04927208	0.038050558	0.055624926	0.062288674	0.058474652	0.041151324	0.027413928	0.020678401	0.017125879	0.004241684	-0.010049845	-0.038502463	0.202605001	0.174645276	0.187350968	0.235827199	0.241526651	0.199251952	0.137130504	0.096184659	0.075608561	0.042735127	-0.011616321	-0.097104615	1.484144961
SU-6668 (Orantinib)	SF12	0.974639425	0.973859372	0.927950817	0.850333916	0.834520922	0.836267201	0.836466012	0.79733166	0.803773708	0.852084559	0.818466108	0.812819189	0.712296757	-0.011156025	-0.011503752	-0.032475042	-0.070410499	-0.078562771	-0.077654936	-0.077551701	-0.098360991	-0.094866204	-0.069517305	-0.0869993	-0.090006052	-0.147339033	-0.045319554	-0.087957587	-0.20577108	-0.297946539	-0.312435414	-0.310413274	-0.351825384	-0.38645439	-0.328767017	-0.313033209	-0.354010704	-0.47469017	-3.468624321	1.110668403	1.098174773	1.052356409	1.071306835	1.0810564	1.08546961	1.08470365	1.083461735	1.091799337	1.070047241	1.044447286	1.011375737	0.914437573	0.045584417	0.040671463	0.02216285	0.029913876	0.033848352	0.035617669	0.035311102	0.034813578	0.038142826	0.029402952	0.018886526	0.004912531	-0.038845938	0.17251176	0.125668627	0.104153452	0.127524456	0.138932042	0.141857541	0.140249359	0.145912808	0.135091556	0.096578955	0.047598113	-0.067866814	1.308211854
SNS-314	SG01	1.206924228	1.201897296	1.157038509	1.112092682	1.109764985	1.113876911	1.125352649	1.172791108	1.186650529	1.246267388	1.212508127	1.24043055	1.072472688	0.081680005	0.079867358	0.063347814	0.046140983	0.045231018	0.046837202	0.051288638	0.069220665	0.074322837	0.095611231	0.083684658	0.093572454	0.030386241	0.323094727	0.286430343	0.218977593	0.182744002	0.184136439	0.196251679	0.241018604	0.287087003	0.339868136	0.358591778	0.354514224	0.24791739	3.220631918	1.118362222	1.108988744	1.097909822	1.134160096	1.192721098	1.284710633	1.281699819	1.278544622	1.27393887	1.27195619	1.257780359	1.237426902	1.148316563	0.048582488	0.044927138	0.04056667	0.054674363	0.076538902	0.108805319	0.107786323	0.10671589	0.105148589	0.104472153	0.099604809	0.092519553	0.060061629	0.187019253	0.170987617	0.190482067	0.262426529	0.37068844	0.433183283	0.429004426	0.423728957	0.419241484	0.408153924	0.384248724	0.305162365	3.984327069
AT-7519 HCl	SG02	0.898809098	0.893146137	0.938793185	0.868562514	0.866868027	0.898789145	0.95151769	0.898906047	0.915518176	0.912494201	0.94464525	1.072878607	0.949586455	-0.04633254	-0.049077476	-0.027430072	-0.061198918	-0.062047015	-0.046342181	-0.021583133	-0.046285698	-0.038333029	-0.039769887	-0.024731255	0.030550586	-0.022465489	-0.190820032	-0.153015095	-0.17725798	-0.246491866	-0.216778393	-0.135850629	-0.135737662	-0.169237454	-0.156205832	-0.129002283	0.011638662	0.016170194	-1.682588372	1.104891025	1.078009814	1.046741674	1.070560648	1.081275857	1.088492538	1.079556207	1.065397425	1.069078423	1.077754772	1.081938444	1.066737813	1.016672856	0.043319446	0.032622715	0.019839515	0.029611275	0.033936506	0.036825456	0.033245259	0.027511643	0.029009564	0.032519954	0.034202553	0.02805769	0.007181229	0.151884321	0.104924459	0.098901581	0.127095563	0.141523924	0.14014143	0.121513803	0.113042414	0.123059038	0.133445014	0.124520485	0.070477837	1.45052987
PF-562271	SG03	0.911456091	0.917464818	0.890984542	0.828184289	0.813957576	0.856226108	0.859458356	0.903447754	0.993619278	0.933652738	0.868977369	0.879018055	0.784787024	-0.040264248	-0.037410581	-0.050129831	-0.081873013	-0.08939823	-0.067411534	-0.065775162	-0.044096957	-0.002779991	-0.029814625	-0.060991534	-0.056002204	-0.105248186	-0.155349658	-0.175080823	-0.264005686	-0.342542485	-0.313619528	-0.266373391	-0.219744238	-0.093753897	-0.065189232	-0.181612317	-0.233987477	-0.322500782	-2.633759514	1.121559037	1.079913024	1.03269888	1.033185112	1.02813449	1.02902281	1.028751316	1.009578266	1.008425533	1.007552539	0.987339176	0.963554081	0.970584285	0.049822139	0.033388779	0.013973706	0.014178139	0.012049928	0.012425002	0.012310404	0.004139993	0.003643833	0.003267702	-0.005533631	-0.016123905	-0.012966745	0.166421836	0.09472497	0.056303691	0.052456136	0.04894986	0.049470811	0.032900793	0.015567652	0.01382307	-0.004531858	-0.043315071	-0.058181299	0.424590591
Momelotinib	SG04	1.005597181	1.025205164	0.999105419	0.944732537	0.930906956	0.943680494	0.939067394	0.919635912	0.942767208	0.940104261	0.990428023	1.000904257	0.834555465	0.002424047	0.010810785	-0.000388685	-0.024691127	-0.031093725	-0.025175022	-0.027303239	-0.036384078	-0.025595532	-0.026823979	-0.00417708	0.000392536	-0.078544795	0.026469665	0.020844199	-0.050159625	-0.111569703	-0.112537493	-0.104956521	-0.127374633	-0.123959219	-0.104839021	-0.062002118	-0.007569088	-0.156304516	-0.913958074	0.995131101	0.997189218	0.995935728	1.00637214	1.021141511	1.031186756	1.028709007	1.022964196	1.033659155	1.001895792	0.971334412	0.93838488	0.864032555	-0.0021197	-0.001222426	-0.001768688	0.002758605	0.009085931	0.013337327	0.012292542	0.009860434	0.014377355	0.000822553	-0.012631225	-0.027618999	-0.063469894	-0.006684253	-0.005982227	0.001979836	0.023689073	0.044846516	0.051259738	0.044305952	0.048475578	0.030399816	-0.023617345	-0.080500447	-0.182177785	-0.054005548
SB202190	SG05	0.912319655	0.907583778	0.91481939	0.867491345	0.872921116	0.911766155	0.918752334	0.870794527	0.871845386	0.87599045	0.883078212	0.968241788	0.906176523	-0.039852969	-0.042113275	-0.038664639	-0.061734849	-0.059025001	-0.040116533	-0.036801545	-0.060084309	-0.059560526	-0.057500628	-0.05400083	-0.014016178	-0.042787194	-0.163932488	-0.161555828	-0.200798977	-0.241519701	-0.198283067	-0.153836155	-0.193771708	-0.239289671	-0.23412231	-0.223002918	-0.136034016	-0.113606743	-2.259753581	1.107826984	1.081477073	1.037567691	1.050921026	1.046601313	1.045495187	1.040084343	1.026008674	1.025629673	1.040184221	0.989605567	0.949280204	0.866230948	0.044471939	0.034017317	0.01601644	0.021570081	0.019781275	0.019322038	0.017068559	0.011151032	0.010990577	0.017110261	-0.00453787	-0.022605576	-0.062366304	0.156978513	0.100067513	0.075173042	0.082702713	0.078206626	0.072781193	0.056439182	0.044283219	0.056201677	0.025144782	-0.054286892	-0.16994376	0.523747809
